Date,Open,High,Low,Close
12/10/2024,"6,057.59","6,065.40","6,029.89","6,034.91"
12/09/2024,"6,083.01","6,088.51","6,048.63","6,052.85"
12/06/2024,"6,081.38","6,099.97","6,079.98","6,090.27"
12/05/2024,"6,089.03","6,094.55","6,072.90","6,075.11"
12/04/2024,"6,069.39","6,089.84","6,061.06","6,086.49"
12/03/2024,"6,042.97","6,052.07","6,033.39","6,049.88"
12/02/2024,"6,040.11","6,053.58","6,035.33","6,047.15"
11/29/2024,"6,003.98","6,044.17","6,003.98","6,032.38"
11/27/2024,"6,014.11","6,020.16","5,984.87","5,998.74"
11/26/2024,"6,000.03","6,025.42","5,992.27","6,021.63"
11/25/2024,"5,992.28","6,020.75","5,963.91","5,987.37"
11/22/2024,"5,944.36","5,972.90","5,944.36","5,969.34"
11/21/2024,"5,940.58","5,963.32","5,887.26","5,948.71"
11/20/2024,"5,914.34","5,920.67","5,860.56","5,917.11"
11/19/2024,"5,870.05","5,923.51","5,855.29","5,916.98"
11/18/2024,"5,874.17","5,908.12","5,865.95","5,893.62"
11/15/2024,"5,912.79","5,915.32","5,853.01","5,870.62"
11/14/2024,"5,989.68","5,993.88","5,942.28","5,949.17"
11/13/2024,"5,985.75","6,008.19","5,965.91","5,985.38"
11/12/2024,"6,003.60","6,009.92","5,960.08","5,983.99"
11/11/2024,"6,008.86","6,017.31","5,986.69","6,001.35"
